CIE10,Descripción Diagnóstico,Cantidad,Genero,Período de consulta
N760,VAGINITIS AGUDA,58,F,01/01/2019-31/12/2020
N761,VAGINITIS SUBAGUDA Y CRONICA,1,F,01/01/2019-31/12/2020
N764,ABSCESO VULVAR,3,F,01/01/2019-31/12/2020
N768,OTRAS INFLAMACIONES ESPECIFICADAS DE LA VAGINA Y DE LA VULVA,2,F,01/01/2019-31/12/2020
N771,"VAGINITIS, VULVITIS Y VULVOVAGINITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE",31,F,01/01/2019-31/12/2020
N778,ULCERACION E INFLAMACION VULVOVAGINAL EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,1,F,01/01/2019-31/12/2020
N811,CISTOCELE,2,F,01/01/2019-31/12/2020
N820,FISTULA VESICOVAGINAL,1,F,01/01/2019-31/12/2020
N830,QUISTE FOLICULAR DEL OVARIO,2,F,01/01/2019-31/12/2020
N832,OTROS QUISTES OVARICOS Y LOS NO ESPECIFICADOS,5,F,01/01/2019-31/12/2020
N835,"TORSION DE OVARIO, PEDICULO DE OVARIO Y TROMPA DE FALOPIO",2,F,01/01/2019-31/12/2020
N842,POLIPO DE LA VAGINA,1,F,01/01/2019-31/12/2020
N850,HIPERPLASIA DE GLANDULA DEL ENDOMETRIO,2,F,01/01/2019-31/12/2020
N858,OTROS TRASTORNOS NO INFLAMATORIOS ESPECIFICADOS DEL UTERO,1,F,01/01/2019-31/12/2020
N888,OTROS TRASTORNOS NO INFLAMATORIOS ESPECIFICADOS DEL CUELLO DEL UTERO,1,F,01/01/2019-31/12/2020
N897,HEMATOCOLPOS,1,F,01/01/2019-31/12/2020
N908,OTROS TRASTORNOS NO INFLAMATORIOS ESPECIFICADOS DE LA VULVA Y DEL PERINEO,1,F,01/01/2019-31/12/2020
N909,"TRASTORNO NO INFLAMATORIO DE LA VULVA Y DEL PERINEO, NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
N910,AMENORREA PRIMARIA,1,F,01/01/2019-31/12/2020
N911,AMENORREA SECUNDARIA,4,F,01/01/2019-31/12/2020
N912,"AMENORREA, SIN OTRA ESPECIFICACION",17,F,01/01/2019-31/12/2020
N921,MENSTRUACION EXCESIVA Y FRECUENTE CON CICLO IRREGULAR,1,F,01/01/2019-31/12/2020
N923,HEMORRAGIA POR OVULACION,1,F,01/01/2019-31/12/2020
N924,HEMORRAGIA EXCESIVA EN PERIODO PREMENOPAUSICO,1,F,01/01/2019-31/12/2020
N926,"MENSTRUACION IRREGULAR, NO ESPECIFICADA",6,F,01/01/2019-31/12/2020
N938,OTRAS HEMORRAGIAS UTERINAS O VAGINALES ANORMALES ESPECIFICADAS,25,F,01/01/2019-31/12/2020
N939,"HEMORRAGIA VAGINAL Y UTERINA ANORMAL, NO ESPECIFICADA",269,F,01/01/2019-31/12/2020
N940,DOLOR INTERMENSTRUAL,1,F,01/01/2019-31/12/2020
N942,VAGINISMO,1,F,01/01/2019-31/12/2020
N944,DISMENORREA PRIMARIA,1,F,01/01/2019-31/12/2020
N945,DISMENORREA SECUNDARIA,1,F,01/01/2019-31/12/2020
N946,"DISMENORREA, NO ESPECIFICADA",4,F,01/01/2019-31/12/2020
N993,PROLAPSO DE LA CUPULA VAGINAL DESPUES DE HISTERECTOMIA,1,F,01/01/2019-31/12/2020
O000,EMBARAZO ABDOMINAL,19,F,01/01/2019-31/12/2020
O008,OTROS EMBARAZOS ECTOPICOS,13,F,01/01/2019-31/12/2020
O009,"EMBARAZO ECTOPICO, NO ESPECIFICADO",28,F,01/01/2019-31/12/2020
O019,"MOLA HIDATIFORME, NO ESPECIFICADA",5,F,01/01/2019-31/12/2020
O021,ABORTO RETENIDO,95,F,01/01/2019-31/12/2020
O033,"ABORTO ESPONTANEO: INCOMPLETO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",2,F,01/01/2019-31/12/2020
O034,"ABORTO ESPONTANEO: INCOMPLETO, SIN COMPLICACION",78,F,01/01/2019-31/12/2020
O038,"ABORTO ESPONTANEO: COMPLETO O NO ESPECIFICADO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",2,F,01/01/2019-31/12/2020
O039,"ABORTO ESPONTANEO: COMPLETO O NO ESPECIFICADO, SIN COMPLICACION",33,F,01/01/2019-31/12/2020
O044,"ABORTO MEDICO: INCOMPLETO, SIN COMPLICACION",7,F,01/01/2019-31/12/2020
O053,"OTRO ABORTO: INCOMPLETO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",2,F,01/01/2019-31/12/2020
O054,"OTRO ABORTO: INCOMPLETO, SIN COMPLICACION",11,F,01/01/2019-31/12/2020
O059,"OTRO ABORTO: COMPLETO O NO ESPECIFICADO, SIN COMPLICACION",5,F,01/01/2019-31/12/2020
O061,"ABORTO NO ESPECIFICADO: INCOMPLETO, COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA",1,F,01/01/2019-31/12/2020
O064,"ABORTO NO ESPECIFICADO: INCOMPLETO, SIN COMPLICACION",5,F,01/01/2019-31/12/2020
O068,"ABORTO NO ESPECIFICADO: COMPLETO O NO ESPECIFICADO, CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS",1,F,01/01/2019-31/12/2020
O069,"ABORTO NO ESPECIFICADO: COMPLETO O NO ESPECIFICADO, SIN COMPLICACION",4,F,01/01/2019-31/12/2020
O088,"OTRAS COMPLICACIONES CONSECUTIVAS AL ABORTO, AL EMBARAZO ECTOPICO Y AL EMBARAZO MOLAR",1,F,01/01/2019-31/12/2020
O089,"COMPLICACION NO ESPECIFICADA CONSECUTIVA AL ABORTO, AL EMBARAZO ECTOPICO Y AL EMBARAZO MOLAR",1,F,01/01/2019-31/12/2020
O100,"HIPERTENSION ESENCIAL PREEXISTENTE QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO",2,F,01/01/2019-31/12/2020
O104,"HIPERTENSION SECUNDARIA PREEXISTENTE QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO",2,F,01/01/2019-31/12/2020
O109,"HIPERTENSION PREEXISTENTE NO ESPECIFICADA, QUE COMPLICA EL EMBARAZO, EL PARTO Y EL PUERPERIO",3,F,01/01/2019-31/12/2020
O120,EDEMA GESTACIONAL,7,F,01/01/2019-31/12/2020
O121,PROTEINURIA GESTACIONAL,1,F,01/01/2019-31/12/2020
O13X,HIPERTENSION GESTACIONAL (INDUCIDA POR EL EMBARAZO) SIN PROTEINURIA SIGNIFICATIVA,60,F,01/01/2019-31/12/2020
O140,PREECLAMPSIA MODERADA,3,F,01/01/2019-31/12/2020
O141,PREECLAMPSIA SEVERA,8,F,01/01/2019-31/12/2020
O149,"PREECLAMPSIA, NO ESPECIFICADA",19,F,01/01/2019-31/12/2020
O150,PREECLAMPSIA EN EL EMBARAZO,5,F,01/01/2019-31/12/2020
O152,PREECLAMPSIA EN EL PUERPERIO,5,F,01/01/2019-31/12/2020
O159,"PREECLAMPSIA, EN PERIODO NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
O16X,"HIPERTENSION MATERNA, NO ESPECIFICADA",95,F,01/01/2019-31/12/2020
O200,AMENAZA DE ABORTO,463,F,01/01/2019-31/12/2020
O208,OTRAS HEMORRAGIAS PRECOCES DEL EMBARAZO,1,F,01/01/2019-31/12/2020
O209,"HEMORRAGIA PRECOZ DEL EMBARAZO, SIN OTRA ESPECIFICACION",1,F,01/01/2019-31/12/2020
O210,HIPEREMESIS GRAVIDICA LEVE,22,F,01/01/2019-31/12/2020
O211,HIPEREMESIS GRAVIDICA CON TRASTORNOS METABOLICOS,1,F,01/01/2019-31/12/2020
O212,HIPEREMESIS GRAVIDICA TARDIA,1,F,01/01/2019-31/12/2020
O219,"VOMITOS DEL EMBARAZO, NO ESPECIFICADO",2,F,01/01/2019-31/12/2020
O229,COMPLICACION VENOSA NO ESPECIFICADA EN EL EMBARAZO,1,F,01/01/2019-31/12/2020
O230,INFECCION DEL RIÑON EN EL EMBARAZO,8,F,01/01/2019-31/12/2020
O231,INFECCION DE LA VEJIGA URINARIA EN EL EMBARAZO,1,F,01/01/2019-31/12/2020
O233,INFECCION DE OTRAS PARTES DE LAS VIAS URINARIAS EN EL EMBARAZO,6,F,01/01/2019-31/12/2020
O234,INFECCION NO ESPECIFICADA DE LAS VIAS URINARIAS EN EL EMBARAZO,7,F,01/01/2019-31/12/2020
O235,INFECCION GENITAL EN EL EMBARAZO,6,F,01/01/2019-31/12/2020
O239,OTRAS INFECCION Y LAS NO ESPECIFICADAS DE LAS VIAS GENITOURINARIAS EN EL EMBARAZO,25,F,01/01/2019-31/12/2020
O244,DIABETES MELLITUS QUE SE ORIGINA EN EL EMBARAZO,1,F,01/01/2019-31/12/2020
O249,"DIABETES MELLITUS NO ESPECIFICADA, EN EL EMBARAZO",1,F,01/01/2019-31/12/2020
O262,ATENCION DEL EMBARAZO EN UNA ABORTADORA HABITUAL,2,F,01/01/2019-31/12/2020
O266,"TRASTORNO DEL HIGADO EN EL EMBARAZO, EL PARTO Y EL PUERPERIO",1,F,01/01/2019-31/12/2020
O268,OTRAS COMPLICACIONES ESPECIFICADAS RELACIONADAS CON EL EMBARAZO,2,F,01/01/2019-31/12/2020
O269,"COMPLICACION RELACIONADA CON EL EMBARAZO, NO ESPECIFICADA",4,F,01/01/2019-31/12/2020
O300,EMBARAZO DOBLE,2,F,01/01/2019-31/12/2020
O308,OTROS EMBARAZOS MULTIPLES,1,F,01/01/2019-31/12/2020
O309,"EMBARAZO MULTIPLE, NO ESPECIFICADO",2,F,01/01/2019-31/12/2020
O312,EMBARAZO QUE CONTINUA DESPUES DE LA MUERTE INTRAUTERINA DE UN FETO O MAS,1,F,01/01/2019-31/12/2020
O318,OTRAS COMPLICACIONES ESPECIFICADAS DEL EMBARAZO,4,F,01/01/2019-31/12/2020
O321,ATENCION MATERNA POR PRESENTACION DE NALGAS,2,F,01/01/2019-31/12/2020
O322,ATENCION MATERNA POR POSICION FETAL OBLICUA O TRANSVERSA,6,F,01/01/2019-31/12/2020
O324,ATENCION MATERNA POR CABEZA ALTA EN GESTACION A TERMINO,21,F,01/01/2019-31/12/2020
O325,ATENCION MATERNA POR EMBARAZO MULTIPLE CON PRESENTACION ANORMAL DE UN FETO O MAS,1,F,01/01/2019-31/12/2020
O326,ATENCION MATERNA POR PRESENTACION COMPUESTA,1,F,01/01/2019-31/12/2020
O328,ATENCION MATERNA POR OTRAS PRESENTACIONES ANORMALES DEL FETO,2,F,01/01/2019-31/12/2020
O331,ATENCION MATERNA POR DESPROPORCION DEBIDA A ESTRECHEZ GENERAL DE LA PELVIS,3,F,01/01/2019-31/12/2020
O334,"ATENCION MATERNA POR DESPROPORCION FETOPELVIANA DE ORIGEN MIXTO, MATERNO Y FETAL",1,F,01/01/2019-31/12/2020
O338,ATENCION MATERNA POR DESPROPORCION DE OTRO ORIGEN,2,F,01/01/2019-31/12/2020
O339,ATENCION MATERNA POR DESPROPORCION DE ORIGEN NO ESPECIFICADO,1,F,01/01/2019-31/12/2020
O340,ATENCION MATERNA POR ANOMALIA CONGENITA DEL UTERO,1,F,01/01/2019-31/12/2020
O342,ATENCION MATERNA POR CICATRIZ UTERINA DEBIDA A CIRUGIA PREVIA,52,F,01/01/2019-31/12/2020
O348,ATENCION MATERNA POR ANORMALIDADES DE LOS ORGANOS PELVIANOS,1,F,01/01/2019-31/12/2020
O349,ATENCION MATERNA POR ANORMALIDAD NO ESPECIFICADA DE ORGANO PELVIANO,2,F,01/01/2019-31/12/2020
O358,ATENCION MATERNA POR OTRAS (PRESUNTA) ANORMALIDADES Y LESIONES FETALES,2,F,01/01/2019-31/12/2020
O359,ATENCION MATERNA POR (PRESUNTA) ANORMALIDAD Y LESION FETAL NO ESPECIFICADA,3,F,01/01/2019-31/12/2020
O363,ATENCION MATERNA POR SIGNOS DE HIPOXIA FETAL,1,F,01/01/2019-31/12/2020
O364,ATENCION MATERNA POR MUERTE INTRAUTERINA,1,F,01/01/2019-31/12/2020
O365,ATENCION MATERNA POR DEFICIT DEL CRECIMIENTO FETAL,33,F,01/01/2019-31/12/2020
O366,ATENCION MATERNA POR CRECIMIENTO FETAL EXCESIVO,2,F,01/01/2019-31/12/2020
O367,ATENCION MATERNA POR FETO VIABLE EN EMBARAZO ABDOMINAL,3,F,01/01/2019-31/12/2020
O368,ATENCION MATERNA POR OTROS PROBLEMAS FETALES ESPECIFICADOS,4,F,01/01/2019-31/12/2020
O369,ATENCION MATERNA POR OTROS PROBLEMAS FETALES NO ESPECIFICADOS,10,F,01/01/2019-31/12/2020
O40X,POLIHIDRAMNIOS,7,F,01/01/2019-31/12/2020
O410,OLIGOHIDRAMNIOS,24,F,01/01/2019-31/12/2020
O418,OTROS TRASTORNOS ESPECIFICADOS DEL LIQUIDO AMNIOTICO Y DE LAS MEMBRANAS,1,F,01/01/2019-31/12/2020
O419,"TRASTORNO DEL LIQUIDO AMNIOTICO Y DE LAS MEMBRANAS, NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
O420,"RUPTURA PREMATURA DE LAS MEMBRANAS, E INICIO DEL TRABAJO DE PARTO DENTRO DE LAS 24 HORAS",43,F,01/01/2019-31/12/2020
O421,"RUPTURA PREMATURA DE LAS MEMBRANAS, E INICIO DEL TRABAJO DE PARTO DESPUÉS DE LAS 24 HORAS",5,F,01/01/2019-31/12/2020
O422,"RUPTURA PREMATURA DE LAS MEMBRANAS, TRABAJO DE PARTO RETRASADO POR LA TERAPEUTICA",1,F,01/01/2019-31/12/2020
O429,"RUPTURA PREMATURA DE LAS MEMBRANAS, SIN OTRA ESPECIFICACION",59,F,01/01/2019-31/12/2020
O438,OTROS TRASTORNOS PLACENTARIOS,1,F,01/01/2019-31/12/2020
O439,"TRASTORNO DE LA PLACENTA, NO ESPECIFICADO",3,F,01/01/2019-31/12/2020
O441,PLACENTA PREVIA CON HEMORRAGIA,3,F,01/01/2019-31/12/2020
O459,"DESPRENDIMIENTO PREMATURO DE LA PLACENTA, SIN OTRA ESPECIFICACION",2,F,01/01/2019-31/12/2020
O468,OTRAS HEMORRAGIAS ANTEPARTO,1,F,01/01/2019-31/12/2020
O469,"HEMORRAGIA ANTEPARTO, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
O470,FALSO TRABAJO DE PARTO ANTES DE LA 37 SEMANAS COMPLETAS DE GESTACION,431,F,01/01/2019-31/12/2020
O471,FALSO TRABAJO DE PARTO ANTES DE LA 37 Y MAS SEMANAS COMPLETAS DE GESTACION,324,F,01/01/2019-31/12/2020
O479,FALSO TRABAJO DE PARTO SIN OTRA ESPECIFICACION,750,F,01/01/2019-31/12/2020
O48X,EMBARAZO PROLONGADO,35,F,01/01/2019-31/12/2020
O60X,PARTO PREMATURO,7,F,01/01/2019-31/12/2020
O620,CONTRACCIONES PRIMARIAS INADECUADAS,63,F,01/01/2019-31/12/2020
O623,TRABAJO DE PARTO PRECIPITADO,25,F,01/01/2019-31/12/2020
O628,OTRAS ANOMALIAS DINAMICAS DEL TRABAJO DE PARTO,3,F,01/01/2019-31/12/2020
O630,PROLONGACION DEL PRIMER PERIODO (DEL TRABAJO DE PARTO),3,F,01/01/2019-31/12/2020
O639,"TRABAJO DE PARTO PROLONGADO, NO ESPECIFICADO",5,F,01/01/2019-31/12/2020
O651,TRABAJO DE PARTO OBSTRUIDO DEBIDO A ESTRECHEZ GENERAL DE LA PELVIS,1,F,01/01/2019-31/12/2020
O654,"TRABAJO DE PARTO OBSTRUIDO DEBIDO A DESPROPORCION FETOPELVIANA, SIN OTRA ESPECIFICACION",2,F,01/01/2019-31/12/2020
O659,TRABAJO DE PARTO OBSTRUIDO DEBIDO A ANOMALIA PELVIANA NO ESPECIFICADA,1,F,01/01/2019-31/12/2020
O664,"FRACASO DE LA PRUEBA DEL TRABAJO DE PARTO, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
O688,TRABAJO DE PARTO Y PARTO COMPLICADOS POR OTRAS EVIDENCIAS DE SUFRIMIENTO FETAL,1,F,01/01/2019-31/12/2020
O689,"TRABAJO DE PARTO Y PARTO COMPLICADOS POR SUFRIMIENTO FETAL, SIN OTRA ESPECIFICACION",5,F,01/01/2019-31/12/2020
O690,TRABAJO DE PARTO Y PARTO COMPLICADOS POR PROLAPSO DEL CORDON UMBILICAL,1,F,01/01/2019-31/12/2020
O698,TRABAJO DE PARTO Y PARTO COMPLICADOS POR OTROS PROBLEMAS DEL CORDON UMBILICAL,1,F,01/01/2019-31/12/2020
O710,RUPTURA DEL UTERO ANTES DEL INICIO DEL TRABAJO DE PARTO,2,F,01/01/2019-31/12/2020
O715,OTROS TRAUMATISMOS OBSTETRICOS DE LOS ORGANOS PELVIANOS,2,F,01/01/2019-31/12/2020
O717,HEMATOMA OBSTETRICO DE LA PELVIS,2,F,01/01/2019-31/12/2020
O719,"TRAUMA OBSTETRICO, NO ESPECIFICADO",1,F,01/01/2019-31/12/2020
O721,OTRAS HEMORRAGIAS POSTPARTO INMEDIATAS,3,F,01/01/2019-31/12/2020
O722,HEMORRAGIA POSTPARTO SECUNDARIA O TARDIA,3,F,01/01/2019-31/12/2020
O730,RETENCION DE LA PLACENTA SIN HEMORRAGIA,3,F,01/01/2019-31/12/2020
O745,CEFALALGIA INDUCIDA POR LA ANESTESIA ESPINAL O EPIDURAL ADMINISTRADAS DURANTE EL TRABAJO DE PARTO Y EL PARTO,1,F,01/01/2019-31/12/2020
O753,OTRAS INFECCIONES DURANTE EL TRABAJO DE PARTO,1,F,01/01/2019-31/12/2020
O756,RETRASO DEL PARTO DESPUES DE LA RUPTURA ESPONTANEA O NO ESPECIFICADA DE LAS MEMBRANAS,2,F,01/01/2019-31/12/2020
O757,PARTO VAGINAL POSTERIOR A UNA CESAREA PREVIA,2,F,01/01/2019-31/12/2020
O759,COMPLICACION NO ESPECIFICADA DEL TRABAJO DE PARTO Y DEL PARTO,1,F,01/01/2019-31/12/2020
O800,"PARTO UNICO ESPONTANEO, PRESENTACION CEFALICA DE VERTICE",1,F,01/01/2019-31/12/2020
O801,"PARTO UNICO ESPONTANEO, PRESENTACION DE NALGAS O PODALICA",1,F,01/01/2019-31/12/2020
O809,"PARTO UNICO ESPONTANEO, SIN OTRA ESPECIFICACION",7,F,01/01/2019-31/12/2020
O828,OTROS PARTOS UNICOS POR CESAREA,3,F,01/01/2019-31/12/2020
O829,"PARTO POR CESAREA, SIN OTRA ESPECIFICACION",1,F,01/01/2019-31/12/2020
O860,INFECCION DE HERIDA QUIRURGICA OBSTETRICA,1,F,01/01/2019-31/12/2020
O868,OTRAS INFECCIONES PUERPERALES ESPECIFICADAS,4,F,01/01/2019-31/12/2020
O900,DEHISCENCIA DE SUTURA DE CESAREA,1,F,01/01/2019-31/12/2020
O908,"OTRAS COMPLICACIONES PUERPERALES, NO CLASIFICADAS EN OTRA PARTE",1,F,01/01/2019-31/12/2020
O912,MASTITIS NO PURULENTA ASOCIADA CON EL PARTO,21,F,01/01/2019-31/12/2020
O922,OTROS TRASTORNOS DE LA MAMA Y LOS NO ESPECIFICADOS ASOCIADOS CON EL PARTO,1,F,01/01/2019-31/12/2020
O991,"OTRAS ENFERMEDADES DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS QUE AFECTAN EL SISTEMA INMUNITARIO CUANDO COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO",1,F,01/01/2019-31/12/2020
O993,"TRASTORNOS MENTALES Y ENFERMEDADES DEL SISTEMA NERVIOSO QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO",1,F,01/01/2019-31/12/2020
O998,"OTRAS ENFERMEDADES ESPECIFICADAS Y AFECCIONES QUE COMPLICAN EL EMBARAZO, EL PARTO Y EL PUERPERIO",1,F,01/01/2019-31/12/2020
P002,FETO Y RECIEN NACIDO AFECTADOS POR ENFERMEDADES INFECCIOSAS Y PARASITARIAS DE LA MADRE,3,F,01/01/2019-31/12/2020
P009,FETO Y RECIEN NACIDO AFECTADOS POR AFECCION MATERNA NO ESPECIFICADA,1,F,01/01/2019-31/12/2020
P019,FETO Y RECIEN NACIDO AFECTADOS POR COMPLICACIONES MATERNAS NO ESPECIFICADAS DEL EMBARAZO,2,F,01/01/2019-31/12/2020
P038,FETO Y RECIEN NACIDO AFECTADOS POR OTRAS COMPLICACIONES ESPECIFICADAS DEL TRABAJO DE PARTO Y DEL PARTO,1,F,01/01/2019-31/12/2020
P071,OTRO PESO BAJO AL NACER,1,F,01/01/2019-31/12/2020
P073,OTROS RECIEN NACIDOS PRETERMINO,2,F,01/01/2019-31/12/2020
P220,SINDROME DE DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO,1,F,01/01/2019-31/12/2020
P221,TAQUIPNEA TRANSITORIA DEL RECIEN NACIDO,2,F,01/01/2019-31/12/2020
P229,"DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
P284,OTRAS APNEAS DEL RECIEN NACIDO,4,F,01/01/2019-31/12/2020
P290,INSUFICIENCIA CARDIACA NEONATAL,1,F,01/01/2019-31/12/2020
P368,SEPSIS DEL RECIEN NACIDO DEBIDA A OTRAS BACTERIAS,4,F,01/01/2019-31/12/2020
P369,"SEPSIS BACTERIANA DEL RECIEN NACIDO, NO ESPECIFICADA",9,F,01/01/2019-31/12/2020
P371,TOXOPLASMOSIS CONGENITA,6,F,01/01/2019-31/12/2020
P53X,ENFERMEDAD HEMORRAGICA DEL FETO Y DEL RECIEN NACIDO,1,F,01/01/2019-31/12/2020
P546,HEMORRAGIA VAGINAL NEONATAL,1,F,01/01/2019-31/12/2020
P550,INCOMPATIBILIDAD RH DEL FETO Y DEL RECIEN NACIDO,6,F,01/01/2019-31/12/2020
P598,ICTERICIA NEONATAL POR OTRAS CAUSAS ESPECIFICADAS,1,F,01/01/2019-31/12/2020
P599,"ICTERICIA NEONATAL, NO ESPECIFICADA",71,F,01/01/2019-31/12/2020
P722,"OTROS TRASTORNOS NEONATALES TRANSITORIOS DE LA FUNCION TIROIDEA, NO CLASIFICADOS EN OTRA PARTE",1,F,01/01/2019-31/12/2020
P741,DESHIDRATACION DEL RECIEN NACIDO,1,F,01/01/2019-31/12/2020
P761,ILEO TRANSITORIO DEL RECIEN NACIDO,1,F,01/01/2019-31/12/2020
P783,DIARREA NEONATAL NO INFECCIOSA,1,F,01/01/2019-31/12/2020
P920,VOMITOS DEL RECIEN NACIDO,3,F,01/01/2019-31/12/2020
Q220,ATRESIA DE LA VALVULA PULMONAR,1,F,01/01/2019-31/12/2020
Q314,ESTRIDOR LARINGEO CONGENITO,1,F,01/01/2019-31/12/2020
Q320,TRAQUEOMALACIA CONGENITA,1,F,01/01/2019-31/12/2020
Q501,QUISTE EN DESARROLLO DEL OVARIO,1,F,01/01/2019-31/12/2020
Q612,"RIÑON POLIQUISTICO, TIPO ADULTO",1,F,01/01/2019-31/12/2020
Q652,"LUXACION CONGENITA DE LA CADERA, NO ESPECIFICADA",1,F,01/01/2019-31/12/2020
Q656,CADERA INESTABLE,1,F,01/01/2019-31/12/2020
Q658,OTRAS DEFORMIDADES CONGENITAS DE LA CADERA,1,F,01/01/2019-31/12/2020
Q764,"OTRA MALFORMACION CONGENITA DE LA COLUMNA VERTEBRAL, NO ASOCIADA CON ESCOLIOSIS",1,F,01/01/2019-31/12/2020
Q774,ACONDROPLASIA,1,F,01/01/2019-31/12/2020
Q780,OSTEOGENESIS IMPERFECTA,1,F,01/01/2019-31/12/2020
R000,"TAQUICARDIA, NO ESPECIFICADA",34,F,01/01/2019-31/12/2020
R001,"BRADICARDIA, NO ESPECIFICADA",9,F,01/01/2019-31/12/2020
R002,PALPITACIONES,34,F,01/01/2019-31/12/2020
R02X,"GANGRENA, NO CLASIFICADA EN OTRA PARTE",3,F,01/01/2019-31/12/2020
R030,"LECTURA ELEVADA DE LA PRESION SANGUINEA, SIN DIAGNOSTICO DE HIPERTENSION",4,F,01/01/2019-31/12/2020
R040,EPISTAXIS,45,F,01/01/2019-31/12/2020
R042,HEMOPTISIS,2,F,01/01/2019-31/12/2020
R05X,TOS,22,F,01/01/2019-31/12/2020
R060,DISNEA,71,F,01/01/2019-31/12/2020
R061,ESTRIDOR,1,F,01/01/2019-31/12/2020
R062,SILBIDO,1,F,01/01/2019-31/12/2020
R070,DOLOR DE GARGANTA,4,F,01/01/2019-31/12/2020
R071,DOLOR EN EL PECHO AL RESPIRAR,18,F,01/01/2019-31/12/2020
R072,DOLOR PRECORDIAL,131,F,01/01/2019-31/12/2020
R073,OTROS DOLORES EN EL PECHO,349,F,01/01/2019-31/12/2020
R074,"DOLOR EN EL PECHO, NO ESPECIFICADO",305,F,01/01/2019-31/12/2020
R100,ABDOMEN AGUDO,4,F,01/01/2019-31/12/2020
R101,DOLOR ABDOMINAL LOCALIZADO EN PARTE SUPERIOR,249,F,01/01/2019-31/12/2020
R102,DOLOR PELVICO Y PERINEAL,190,F,01/01/2019-31/12/2020
R103,DOLOR LOCALIZADO EN OTRAS PARTES INFERIORES DEL ABDOMEN,416,F,01/01/2019-31/12/2020
R104,OTROS DOLORES ABDOMINALES Y LOS NO ESPECIFICADOS,2458,F,01/01/2019-31/12/2020
R11X,NAUSEA Y VOMITO,338,F,01/01/2019-31/12/2020
R13X,DISFAGIA,15,F,01/01/2019-31/12/2020
R161,"ESPLENOMEGALIA, NO CLASIFICADA EN OTRA PARTE",1,F,01/01/2019-31/12/2020
R17X,ICTERICIA NO ESPECIFICADA,27,F,01/01/2019-31/12/2020
R18X,ASCITIS,18,F,01/01/2019-31/12/2020
R190,"TUMEFACCION, MASA O PROMINENCIA INTRAABDOMINAL Y PELVICA",10,F,01/01/2019-31/12/2020
R202,PARESTESIA DE LA PIEL,4,F,01/01/2019-31/12/2020
R208,OTRAS ALTERACIONES DE LA SENSIBILIDAD CUTANEA Y LAS NO ESPECIFICADAS,1,F,01/01/2019-31/12/2020
R220,"TUMEFACCION, MASA O PROMINENCIA LOCALIZADA EN LA CABEZA",3,F,01/01/2019-31/12/2020
R221,"TUMEFACCION, MASA O PROMINENCIA LOCALIZADA EN EL CUELLO",9,F,01/01/2019-31/12/2020
R223,"TUMEFACCION, MASA O PROMINENCIA LOCALIZADA EN EL MIEMBRO SUPERIOR",1,F,01/01/2019-31/12/2020
R224,"TUMEFACCION, MASA O PROMINENCIA LOCALIZADA EN EL MIEMBRO INFERIOR",1,F,01/01/2019-31/12/2020
R229,"TUMEFACCION, MASA O PROMINENCIA LOCALIZADA EN PARTE NO ESPECIFICADA",2,F,01/01/2019-31/12/2020
R230,CIANOSIS,2,F,01/01/2019-31/12/2020
R231,PALIDEZ,1,F,01/01/2019-31/12/2020
R233,EQUIMOSIS ESPONTANEA,9,F,01/01/2019-31/12/2020
R252,CALAMBRES Y ESPASMOS,5,F,01/01/2019-31/12/2020
R268,OTRAS ANORMALIDADES DE LA MARCHA Y DE LA MOVILIDAD Y LAS NO ESPECIFICADAS,1,F,01/01/2019-31/12/2020
R300,DISURIA,8,F,01/01/2019-31/12/2020
R31X,"HEMATURIA, NO ESPECIFICADA",39,F,01/01/2019-31/12/2020
R32X,"INCONTINENCIA URINARIA, NO ESPECIFICADA",3,F,01/01/2019-31/12/2020
R33X,RETENCION DE ORINA,13,F,01/01/2019-31/12/2020
R34X,ANURIA Y OLIGURIA,5,F,01/01/2019-31/12/2020
R400,SOMNOLENCIA,7,F,01/01/2019-31/12/2020
R401,ESTUPOR,1,F,01/01/2019-31/12/2020
